,Video Title,Thumbnail URL,Description Length,Tags,Published Data & Time,View Count,Like Count,Comment Count,Duration,Category,Channel Title,Channel Subscriber,Channel Age,Total number of channel uploads
67,1 year in our new house!,https://i.ytimg.com/vi/pYXBat5bnXc/default.jpg,1471,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2023-01-05T13:13:32Z,703467,36332,1356,18分23秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
68,Opening packages and introducing Nagi!,https://i.ytimg.com/vi/q7Cw0IsjI6g/default.jpg,815,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'packages', 'opening', 'fanmail', 'cat', 'kitty', 'Nagi']",2017-03-14T11:50:12Z,697064,15422,1101,26分21秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
69,I built a custom cat feeding station,https://i.ytimg.com/vi/EyYat05AH9U/default.jpg,1437,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2023-05-08T14:14:03Z,687418,36811,1326,12分46秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
70,Our custom Japanese house plan (cat/living room) + Announcement!,https://i.ytimg.com/vi/PbGhhQdGBZ4/default.jpg,679,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2020-11-18T11:59:27Z,677735,43695,2700,15分15秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
71,Hunting down Poki's allergies,https://i.ytimg.com/vi/UNjjsILqv8k/default.jpg,1047,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2023-03-07T15:49:30Z,676834,33938,1562,15分1秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
72,Checking out Japanese house listings online,https://i.ytimg.com/vi/_Je82RDTrkY/default.jpg,648,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life', 'house', 'real', 'estate', 'listings']",2020-07-13T15:43:00Z,675626,27246,2893,16分47秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
73,My grandpa gives Jun chores,https://i.ytimg.com/vi/J8YgSfaz_RY/default.jpg,713,"['america', 'yard', 'work', 'chores', 'jun', 'grandpa', 'japan', 'japanese', 'rachel', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2018-06-30T06:49:11Z,669634,21062,1617,15分1秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
74,Our cats review a laser toy,https://i.ytimg.com/vi/ZXMJ9Xtyuqk/default.jpg,819,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life', 'cat', 'cats', 'review', 'laser', 'toy']",2018-02-15T10:05:07Z,665123,17109,883,7分54秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
75,How I cleared my skin,https://i.ytimg.com/vi/be4Y1i2stS0/default.jpg,1371,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life', 'acne', 'skin', 'treatment', 'clear', 'cleared', 'clean']",2018-02-21T12:17:00Z,662248,19952,1802,14分6秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
76,Planting a whole buncha succulents (Twitch stream VOD),https://i.ytimg.com/vi/hBz5HlqcY8s/default.jpg,650,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2020-04-04T04:46:01Z,658678,11916,737,3時間54分18秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
77,Our cats get their favorite things,https://i.ytimg.com/vi/5118BppGg1E/default.jpg,981,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life', 'cats', 'presents', 'haku', 'nagi', 'poki']",2021-01-11T15:24:31Z,657565,43098,1523,11分33秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
78,Rachel (kinda) cooks for a day,https://i.ytimg.com/vi/EFPJ3tQ16B0/default.jpg,934,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2021-05-21T11:52:53Z,619213,35693,1812,18分31秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
79,Not the beach day we were expecting,https://i.ytimg.com/vi/GQyLAqAHlIs/default.jpg,876,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life', 'beach', 'day', 'fireworks', 'fun', 'summer', 'donuts', 'yt:cc=on']",2019-08-29T11:50:30Z,615867,24660,1860,19分5秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
80,Making an old cat tree beautiful,https://i.ytimg.com/vi/QNzDbWIOanM/default.jpg,1047,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2022-04-22T13:08:34Z,611911,34274,999,17分1秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
81,The most beautiful restaurant in Japan,https://i.ytimg.com/vi/P-7NKqqn60g/default.jpg,1585,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'restaurant', 'beautiful', 'waterfall', 'momiji', 'most beautiful', 'soba', 'daigo', 'ibaraki', 'cafe', 'momijien', 'yt:cc=on']",2017-11-20T13:16:26Z,608154,19657,802,9分46秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
82,Opening a ton of your packages,https://i.ytimg.com/vi/IW1pDYnuqVs/default.jpg,641,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life', 'mail', 'package', 'opening', 'boxes', 'cat', 'cats']",2018-09-27T04:54:55Z,600291,16554,975,1時間2分16秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
83,Jun got foot surgery,https://i.ytimg.com/vi/BnxPLtX_2e8/default.jpg,741,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life', 'foot', 'surgery']",2020-03-27T14:38:14Z,600073,30140,1887,8分37秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
84,Prepping for our move,https://i.ytimg.com/vi/90ujbJdRKXI/default.jpg,728,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life', 'move', 'moving', 'prep', 'prepping', 'preparing']",2019-02-02T13:48:12Z,582155,21472,1996,33分26秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
85,How we trim our cats' nails,https://i.ytimg.com/vi/RdmF6P2v2_E/default.jpg,720,"['cat', 'cats', 'nails', 'trim', 'clip', 'how to', 'claws', 'japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2018-04-07T09:22:45Z,568353,19283,1495,8分39秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
86,Fixing our cats and updates on roomba. I mean wait-,https://i.ytimg.com/vi/1M-rybgUlL0/default.jpg,641,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2020-06-22T14:01:06Z,567559,29589,863,7分13秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
87,Foaming Candy IN A TOILET | Japanese snack review,https://i.ytimg.com/vi/JJSuymJf95E/default.jpg,965,"['japan', 'japanese', 'candy', 'snack', 'review', 'toilet', 'foaming', 'mokomoko', 'candy in a toilet', 'foaming toilet 4', 'japanese candy review', 'snack review', 'もこもこトイレット', 'もこもこ', 'トイレット', 'モコレット']",2016-08-16T14:35:20Z,562816,14559,751,14分32秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
88,How well can our cat see?,https://i.ytimg.com/vi/iSbCl5wusyQ/default.jpg,1397,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2021-10-15T12:57:22Z,555665,32596,1205,9分51秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
