,Video Title,Thumbnail URL,Description Length,Tags,Published Data & Time,View Count,Like Count,Comment Count,Duration,Category,Channel Title,Channel Subscriber,Channel Age,Total number of channel uploads
22,Awesome TRANSITIONS to make your videos BETTER!! Premiere Pro Tutorial,https://i.ytimg.com/vi/oF0tfqIx4cc/default.jpg,1805,"['Transitions', 'Zoom Transitions', 'Sam Kolder Transitions', 'Peter McKinnon Transitions', 'Video transitions', 'spin transitions', 'Frame Blocking', 'Masking', 'Mask transition', 'WIpe Transition', 'Premiere Pro Tutorial', 'Premiere Pro Transitions', 'Adobe', 'Video Editing', 'Make better videos', 'how to get better at video', 'How to get better at editing', 'editing transitions', 'peter mckinnon', 'squarespace']",2017-04-13T22:30:08Z,3494744,99672,2416,13分56秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
23,Melting Coffee Cubes #Shorts,https://i.ytimg.com/vi/eCGpGpIu9Bo/default.jpg,1169,"['Peter McKinnon', 'Peter McKinnon photography', 'Peter McKinnon Tutorials', 'Photography', 'Cinematography', 'Learn Cameras', 'Learn Photography', 'Learn Video', 'Video tutorials', 'Camera basics']",2021-08-20T14:26:38Z,3425047,181563,1503,42秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
24,Make your footage look Cinematic FAST! Premiere Pro Tutorial,https://i.ytimg.com/vi/GYud_W7Ou9E/default.jpg,1030,"['cinematic', 'cinematic footage', 'cinema film look', 'film look', 'premiere pro', 'adobe', 'adobe premiere', 'adobe premiere pro', 'more cinematic', 'how to make my footage look cinematic', 'how to get the film look', 'colour correction', 'color correction', 'color grading', 'how to colour correct', 'how to color correct', 'color correct in premiere', 'color correct in premiere pro', 'cinematic film look tutorial', 'improve my footage', 'hollywood look']",2017-01-03T23:04:51Z,3420721,73400,1741,16分6秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
25,A $350 miniature magnet camera #Shorts,https://i.ytimg.com/vi/2tOx4hP-Q98/default.jpg,1490,"['Peter McKinnon', 'Peter McKinnon photography', 'Peter McKinnon Tutorials', 'Photography', 'Cinematography', 'Learn Cameras', 'Learn Photography', 'Learn Video', 'Video tutorials', 'Camera basics']",2022-03-28T12:34:37Z,3288955,90236,1023,28秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
26,I Paid VFX 'Artists' to edit my green screen footage!,https://i.ytimg.com/vi/XyOl4Vnm8Lo/default.jpg,1964,"['Peter McKinnon', 'Peter McKinnon photography', 'Peter McKinnon Tutorials', 'Photography', 'Cinematography', 'Learn Cameras', 'Learn Photography', 'Learn Video', 'Video tutorials', 'Camera basics', 'Fiverr', 'Fiverr Editors', 'VFX Artists', 'VFX Artists React', 'Reacting to VFX', 'Fiverr VFX Artists', 'I paid VFX Artists', 'I Paid Fiverr', 'Peter McKinnon Fiverr', 'CGI', 'CGI Battle', 'Bad CGI', 'Great CGI', 'Reacting to bad CGI', 'Fiverr CGI Fails']",2020-03-20T21:13:40Z,3287890,128005,6571,17分41秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
27,You Won’t Believe The Sound of This Truck!! ⚡️#Shorts,https://i.ytimg.com/vi/T7Rj384oirQ/default.jpg,1169,"['Peter McKinnon', 'Peter McKinnon photography', 'Peter McKinnon Tutorials', 'Photography', 'Cinematography', 'Learn Cameras', 'Learn Photography', 'Learn Video', 'Video tutorials', 'Camera basics']",2021-06-26T15:25:26Z,3094417,134065,5827,30秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
28,What LENS should YOU BUY?!,https://i.ytimg.com/vi/hnMY1u7M90o/default.jpg,2061,"['Lenses', 'Lens', 'Camera Lens', 'What lens should I buy?', 'Buying a lens', 'How to buy a camera lens', 'What canon lens should I buy?', '24-70mm', 'Canon 24-70', 'Sigma 24-70', 'Canon 16-35', 'Canon 70-200', 'Zoom Lens', 'Wide Angled Lens', 'Canon L Series', 'Canon lenses', 'Best lens for photos?', 'Best lens for videos?', 'Vlogging Lens', 'Peter McKinnon', 'Photography', 'Videography', 'Cinematography', 'Filmmaking', 'Lenses for filmmaking', 'Lenses for photography', 'Buying your first lens', 'Lens Choice']",2017-03-07T15:43:11Z,3006553,77937,2858,14分19秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
29,I was a HORRIBLE PHOTOGRAPHER,https://i.ytimg.com/vi/t82Ay-dNKSo/default.jpg,1336,"['Horrible Photographer', 'Take better photos', 'How to take better photos', 'photography', 'How to get good at photography', 'Comparing Photos', 'Old Photos', 'My old photos', 'Reacting to photos', 'Reacting to old photos', 'Reacting to my old photos', 'Peter McKinnon', 'Peter McKinnon VLOG', 'Peter McKinnon Tutorials', 'Bobby motta', 'Bobby Motta Mentalist', 'Bad photographer', 'Terrible Photographers']",2018-01-15T18:00:04Z,2966909,98881,5299,15分52秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
30,How to CLONE yourself!!,https://i.ytimg.com/vi/B3AqxXYBm28/default.jpg,1619,"['Multiply yourself', 'clone yourself into videos', 'clone yourself in videos', 'Clone yourself', 'how to clone yourself', 'clone yourself in photos', 'multiply yourslef in photos', 'Photoshop Tutorial', 'Adobe Photoshop', 'Photo Editing Techniques', 'Adobe Premiere Pro', 'Premiere Pro Tutorial', 'Peter McKinnon', 'Peter McKinnon Tutorial', 'How to make better videos', 'How to get better pictures', 'Multiplicity', 'Learn new photo skills']",2017-06-09T18:00:00Z,2949087,120444,2913,11分46秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
31,Start CRUSHING your INSTAGRAM game!!,https://i.ytimg.com/vi/n-89XlD2ZUg/default.jpg,1795,"['INSTAGRAM', 'Get more followers on instagram', 'Improve your instagram', 'Improve your social media', 'Leverage your social media', 'More followers on Instagram', 'Crush your instagram game', 'get more followers', 'How do I get more followers', 'How do I make my instagram better', 'Social Media', 'Edit Stories in premiere pro', 'Adobe Premiere pro', 'Editing stories for instagram', 'Instagram Stories', 'Step up your instagram game', 'Peter McKinnon', 'VLOG', 'How to', 'Phototography', 'Cinematography']",2017-03-14T21:00:22Z,2947851,96293,3251,14分13秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
