,Video Title,Thumbnail URL,Description Length,Tags,Published Data & Time,View Count,Like Count,Comment Count,Duration,Category,Channel Title,Channel Subscriber,Channel Age,Total number of channel uploads
165,Introvert Abandoned with No Money in Thailand for 24 Hours!!,https://i.ytimg.com/vi/YtyTsnoYiJI/default.jpg,3060,"['bangkok', 'yes theory', 'seek discomfort', 'abandoned in', 'khao san road', 'thailand', 'thailand backpacking', 'backpacking bangkok', 'bangkok nightlife', 'where to travel in thailand', 'what to do in bangkok', 'surviving in bangkok', 'yes theory thailand', 'thailand travel', 'living for free', 'living with no money', 'surviving with no money', 'how to travel thailand', 'things to do in thailand', 'introvert', 'introvert challenge', 'shy person', 'shy', 'being shy', 'become extrovert', 'introvert vs extrovert', 'shy challenge']",2018-06-17T19:31:32Z,2584271,95626,4292,15分15秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
166,Can’t Leave Airport Until a Stranger Buys Me a Flight,https://i.ytimg.com/vi/ZOgVZCugeuo/default.jpg,2968,"['yestheory', 'seek discomfort', 'yes theory strangers', 'yes theory travel', 'yes theory subscribers', 'getting out of your comfort zone', 'Amazon FBA']",2022-03-13T17:00:10Z,2560761,100009,2468,23分39秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
167,Dropped with $0 in China’s Richest City,https://i.ytimg.com/vi/HYHZyyogdyo/default.jpg,2666,"['yestheory', 'seek discomfort', 'yes theory strangers', 'yes theory travel', 'yes theory subscribers', 'getting out of your comfort zone', 'Amazon FBA']",2023-11-19T18:00:15Z,2544608,92047,13454,30分12秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
168,Spinning The Globe & Flying Wherever It Lands (again),https://i.ytimg.com/vi/y4WNxmPh_aU/default.jpg,1285,"['yestheory', 'seek discomfort', 'yes theory strangers', 'yes theory travel', 'yes theory subscribers', 'getting out of your comfort zone', 'Amazon FBA']",2024-07-28T16:00:25Z,2515161,98938,5174,42分24秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
169,Traveling to the Most Northern Town on Earth (NORTH POLE),https://i.ytimg.com/vi/m0vIzYjLw5Q/default.jpg,2291,"['yestheory', 'seek discomfort', 'yes theory strangers', 'yes theory travel', 'yes theory subscribers', 'getting out of your comfort zone', 'Amazon FBA', 'Svalbard', 'Longyearbyen', 'Svalbard travel', 'Spitsbergen', 'Svalbard veritasium', 'Northernmost town on earth', 'North pole']",2021-11-21T18:03:10Z,2507745,99564,3825,20分47秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
170,A Stranger’s Email Got Me To Meet The Dalai Lama,https://i.ytimg.com/vi/WsK2ueTlF2g/default.jpg,1375,"['yestheory', 'seek discomfort', 'dalai lama', 'dalai lama inspiration', 'dalai lama john oliver', 'dalai lama joke', 'dalai lama speech', 'dalai lama meditation', 'meditation', 'buddhism', 'yes theory', 'dalai lama laugh', 'dharamshala', 'india', 'travel to india', 'dharamshala india', 'dalai lama question', 'yes theory travel', 'travel around the world', 'tibet history', 'china tibet', 'dalai lama china', 'dalai lama tibet', '14th dalai lama', '14th dalai lama story', '14th dalai lama documentary']",2019-12-08T18:00:28Z,2471033,126901,8495,14分50秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
171,JUMPING OFF ABANDONED BRIDGE WITH 5 STRANGERS! (Million Subscriber Special),https://i.ytimg.com/vi/thqHyyUaI-Y/default.jpg,3283,"['bungee jumping', 'bungee jumping prank', 'flying out subscribers', 'surprising subscribers', 'surprising strangers', 'asking strangers', 'yes theory', 'seek discomfort', 'yes theory will smith', 'will smith bungee jump', 'will smith bungee jump speech', 'strangers prank', 'strangers tell their crushes they like them', 'abandoned bridge', 'jumping off abandoned bridge', 'urban exploration abandoned', 'urban exploration', 'abandoned california desert', 'fear of heights', 'abandoned exploration', 'abandoned mansion']",2018-03-11T18:33:18Z,2468588,90198,3084,10分40秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
172,SURVIVING ONLY USING BITCOIN FOR 24 HOURS (Does it work?),https://i.ytimg.com/vi/F3QtsGhBA6U/default.jpg,2821,"['cryptocurrency', 'news', 'coinbase', 'bitcoin 2018', 'bitcoin boom', 'bitcoin crash', 'bitconnect', 'bitcoin today', 'bitcoin explained', 'bitcoin mining', 'bitcoin for dummies', 'crypto', 'altcoins', 'invest cryptocurrency', 'buy cryptocurrency', 'cryptocurrency 2018', 'cryptocurrency explained', 'cryptocurrency trading', 'cryptocurrency mining', 'ethereum', 'ethereum 2018', 'does bitcoin work', 'bitcoin predictions', 'investing', 'yes theory', '24 hour challenge', 'surviving with bitcoin', 'crypto challenge', 'bitcoin traveling']",2018-01-20T21:00:04Z,2444607,59028,2530,9分51秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
173,Letting Chat GPT control our lives for 72hrs,https://i.ytimg.com/vi/kISB5sum51Y/default.jpg,2534,"['yestheory', 'seek discomfort', 'yes theory strangers', 'yes theory travel', 'yes theory subscribers', 'getting out of your comfort zone', 'Amazon FBA', 'Asking strangers', 'Yes theory travel', 'North Dakota', 'Yes theory USA', 'USA roadtrip', 'Billionaire', 'Asking billionaires', 'American governors']",2021-06-27T16:49:58Z,2402573,115647,5087,22分11秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
174,Abandoned Alone in an African Tribe,https://i.ytimg.com/vi/NqI6PMRxT0Y/default.jpg,3188,"['yestheory', 'seek discomfort', 'yes theory strangers', 'yes theory travel', 'yes theory subscribers', 'getting out of your comfort zone', 'Amazon FBA', 'yes theory africa', 'cameroon', 'Cameroon travel', 'pygmie tribe', 'baka people', 'baka tribe', 'african tribe', 'african travel', 'african exploration']",2022-11-27T18:00:09Z,2399812,75877,2995,24分25秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
