,Video Title,Thumbnail URL,Description Length,Tags,Published Data & Time,View Count,Like Count,Comment Count,Duration,Category,Channel Title,Channel Subscriber,Channel Age,Total number of channel uploads
34,My Minimalist Apartment,https://i.ytimg.com/vi/W2oU4bhaHqU/default.jpg,861,"['minimalism', 'minimalist', 'minimalist apartment', 'tour', 'apartment tour', 'space', 'creative', 'small', 'tiny house', 'decor', 'minimal', 'white', 'clean', 'simple living', 'simple', 'simple spaces', 'open', 'natural light', 'documentary', 'inspiration', 'apartment', 'film', 'filmmaker', 'great', 'cool', 'interesting', 'west elm', 'furniture', 'lamp', 'guitar', 'plant']",2018-02-02T12:00:06Z,1963061,69210,1593,2分52秒,26,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
35,I tried yoga every day for 30 days.,https://i.ytimg.com/vi/jvUej9iVQyQ/default.jpg,1304,"['yoga', 'matt davella', ""Matt D'Avella"", '30 day', '30 day experiment', 'experiment', 'yogi', 'exercise', 'fitness', 'wellness', 'spirituality', 'spiritual', 'health', 'mindfulness', 'meditation', 'india', 'indian', 'habits']",2021-09-15T16:57:20Z,1962795,57938,2271,10分33秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
36,I counted every calorie for 30 days,https://i.ytimg.com/vi/F2btwUXNXh0/default.jpg,760,"['calories', 'count calories', 'nutrition', 'fitness', 'health', 'wellness', 'habits', 'minimalism', 'simplicity', 'diet', 'weight loss', 'fat loss', 'learn', 'education', 'simple living', 'matt davella', ""Matt D'Avella"", 'calorie counting', 'counted calories for 30 days']",2019-09-17T18:00:01Z,1942322,64330,4699,12分45秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
37,The Benefits of a Simple Wardrobe,https://i.ytimg.com/vi/PWl6t4agmtw/default.jpg,661,"['wardrobe', 'simple', 'simple fashion', 'fashion', 'minimalist wardrobe', 'simple style', 'style', ""men's style"", ""men's fashion"", ""minimalist men's fashion"", 'declutter', 'lifestyle', 'lifestyle design', 'minimalism', 'minimalist', 'simple living', 'simplicity', 'basic wardrobe', 'capsule wardrobe', 'project 333', 'courtney carver']",2018-07-09T19:17:17Z,1937611,47079,1891,6分15秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
38,The Myth of Bad Food,https://i.ytimg.com/vi/YBwWdOJcQTY/default.jpg,475,"['food', 'health', 'wellness', 'myth', 'myths', 'bad food', 'good food', 'healthy diet', 'dieting', 'nutrition', 'jordan syatt', 'matt davella', ""Matt D'Avella"", 'the myth of bad food', 'science', 'lifestyle design', 'habits', 'habit', 'habit change', 'self-development', 'self help', 'self-help']",2019-08-13T12:00:11Z,1884741,95995,3959,8分17秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
39,The Ultimate Minimalist Meal Prep,https://i.ytimg.com/vi/0nK1trRuq7c/default.jpg,861,"['meal prep', 'healthy meal prep', 'how to meal prep', 'meal prep for the week', 'meal prep ideas', 'meal prep recipes', 'meal prep for beginners', 'weekly meal prep', 'meal planning', 'minimalist', 'ultimate meal prep', 'meal prep healthy', 'meal prepping', 'minimalist meal planning', 'Kevin Curry', ""Matt D'Avella"", 'FitMenCook', 'minimalist meal prep', 'fried rice meal prep']",2020-04-29T21:35:25Z,1840048,71133,2260,9分28秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
40,4 Rules for Digital Minimalism,https://i.ytimg.com/vi/5nemvG_EzqY/default.jpg,481,"['digital minimalism', 'minimalism', 'digital minimalist', 'minimalist', 'digital minimalism phone', 'digital declutter', '4 rules for digital minimalism', 'digital', 'digital minimalism tips', 'digital detox', 'how to be a minimalist', 'minimalist lifestyle', 'digital decluttering']",2019-09-24T18:00:02Z,1838755,71506,3171,10分9秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
41,This Productivity System Will Save Your Life,https://i.ytimg.com/vi/8n2vL2I__WY/default.jpg,627,"['matt davella', 'productivity', 'checklist manifesto', 'essentialism', 'greg mckeown', 'productivity tips', 'productivity hacks', 'productivity tips and tricks', 'productivity system', 'how to be productive', 'getting things done', 'improving your life', 'increase your productivity', 'how to increase your productivity', 'improve your life', 'productive', 'time management', 'checklists', ""Matt D'Avella""]",2020-02-04T19:00:00Z,1835369,73018,1831,8分42秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
42,How Minimalism Can Make You More Productive,https://i.ytimg.com/vi/CttGNGjwp6A/default.jpg,611,"['minimalism', 'productive', 'productivity', 'work', 'professional', 'hustle', 'declutter', 'lifestyle', 'lifestyle design', 'minimalist', 'simple living', 'simplicity', 'create', 'creator', 'get started', 'ground up', 'make', 'matt davella', ""matt d'avella"", 'podcast', 'podcasting', 'start', 'the ground up show', 'behind the scenes', 'creative', 'creators', 'documentary', 'film', 'filmmaker', 'filmmaking', 'freelance', 'freelance life', 'freelancer']",2018-04-17T14:55:21Z,1804850,58147,796,5分43秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
43,How to Stop Giving a F*ck,https://i.ytimg.com/vi/sLtki8Ezz7c/default.jpg,790,"['how to not give a fuck', 'how to stop giving a fuck', 'stop giving a fuck', 'how to', 'not giving a fuck', 'how to stop caring what people think of you', 'how to be confident', 'how to stop caring', 'how to stop worrying', 'how to not give a f', 'how to stop giving a f']",2019-09-10T18:00:13Z,1795119,109865,6218,11分26秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
44,I read 100 self-help books. Here’s what I learned…,https://i.ytimg.com/vi/S_V4CdP6aLA/default.jpg,1165,"[""Matt D'Avella"", 'matt davella', 'self-development', 'creativity', 'health', 'wellness', 'lifestyle design', 'lifestyle', 'advice']",2022-05-16T13:00:25Z,1725512,74989,1632,9分,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
45,The Era of Upgrades,https://i.ytimg.com/vi/vCoF21OXu2E/default.jpg,509,"['declutter', 'lifestyle', 'lifestyle design', 'minimalism', 'minimalist', 'simple living', 'simplicity', 'phone', 'upgrade', 'iphone', 'android', 'samsung', 'when to upgrade', 'the era of upgrades', 'device', 'ipad']",2019-02-05T23:57:19Z,1719627,74424,3187,9分6秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
46,How to Stop Procrastinating,https://i.ytimg.com/vi/km4pOGd_lHw/default.jpg,772,"['how to stop procrastinating', 'stop procrastinating', 'how to stop procrastination', 'procrastinating', 'how to be productive', 'procrastination', 'stop procrastination', 'how to be more productive', 'how to', 'tips to stop procrastination', 'how to study', 'how to get things done', 'how to focus', 'how to beat procrastination', 'how to overcome procrastination', 'overcome procrastination', 'how to stop prorastinating', ""Matt D'Avella"", 'Steven Kotler', 'Steven Pressfield']",2020-01-15T17:13:55Z,1690712,84462,4197,10分48秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
47,I tried intermittent fasting for 30 days,https://i.ytimg.com/vi/Vi9_LPCuhQA/default.jpg,502,"['intermittent fasting', 'intermittent fasting results', 'fasting', 'intermittent fasting weight loss', 'intermittent fasting benefits', 'i tried intermittent fasting', 'what is intermittent fasting', 'i tried intermittent fasting for a month']",2019-10-22T18:00:02Z,1657523,48094,4512,10分1秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
48,Watch This Video Before You Die,https://i.ytimg.com/vi/sOMLVlqzw_4/default.jpg,383,"['bucket list', 'lifestyle', 'lifestyle design', 'die', 'death', 'dying', 'life', 'living', 'simple living', 'habits', 'habit change', ""Matt D'Avella"", 'Ben Nemtin', 'before i die']",2019-12-03T19:00:08Z,1656753,127987,4865,9分58秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
49,My Morning Routine,https://i.ytimg.com/vi/lqvioBo1his/default.jpg,394,"['morning routine', 'my morning routine', 'routine', 'morning', 'healthy morning routine', 'my actual morning routine', 'morning routines', 'my morning', 'minimalism', 'coffee']",2019-10-08T18:30:02Z,1603596,61604,3278,11分19秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
50,"GaryVee on Minimalism, Hustle & Finding Meaning",https://i.ytimg.com/vi/nhMuBEvopk8/default.jpg,271,"['garyvee', 'gary vaynerchuk', 'gary vee', 'minimalism', 'entrepreneur', 'entrepreneurship', 'gary vee motivation', 'what defines a minimalist business?', 'hustle', 'finding meaning', 'matt davella', ""Matt D'Avella"", 'gary v minimalism', 'gary v hustle', 'gary v finding meaning']",2019-03-15T12:00:06Z,1578559,43435,1427,30分47秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
51,Six Books That Changed My Life,https://i.ytimg.com/vi/NjR9lz-R1xk/default.jpg,837,"['books', 'reading', 'life changing', 'the war of art', 'steven pressfield', 'the dip', 'seth godin', 'the art of possibility', 'ben and roz zander', 'the game', 'neil strauss', 'the 4-hour workweek', 'tim ferriss', 'the total money makeover', 'dave ramsey', 'money', 'finance', 'personal development', 'business', 'learning', 'education', 'changed my life', 'six books', 'book review', 'create', 'creator', 'get started', 'ground up', 'make', 'matt davella', ""matt d'avella"", 'start']",2018-06-11T18:03:18Z,1566657,50540,1865,6分46秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
52,I learned a productivity system for organizing life,https://i.ytimg.com/vi/0_44XEVOwek/default.jpg,1084,"[""Matt D'Avella"", 'matt davella', 'self-development', 'creativity', 'health', 'wellness', 'lifestyle design', 'lifestyle', 'advice']",2023-04-25T17:08:37Z,1547872,45710,1035,15分33秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
53,My New Morning Routine,https://i.ytimg.com/vi/5-IggORYVT0/default.jpg,736,"['morning routine', 'my morning routine', 'routine', 'morning routine 2020', 'morning', 'healthy morning routine', 'productive morning routine', 'morning routines', 'my morning routine 2020', 'quarantine morning routine', '5am morning routine', ""matt d'avella""]",2020-04-01T00:53:24Z,1514857,67614,3426,9分7秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
54,My Minimalist Wardrobe,https://i.ytimg.com/vi/DSHsIOIhjJY/default.jpg,918,"['minimalist', 'fashion', 'men', ""men's clothing"", ""men's fashion"", 'minimalism', 'lifestyle', 'design', 'lifestyle design', 'clothes', 'fabric', 'closet', 'shopping', 'style', ""men's style"", 'simple', 'simplicity', 'male fashion advice', 'simple living', 'documentary', 'doc', 'filmmaker', 'minimalist filmmaker', 'film', 'wardrobe', 'minimalist wardrobe', 'my minimalist wardrobe', 'matt davella', ""Matt D'Avella"", 'netflix']",2018-03-09T12:00:01Z,1510322,44695,1586,3分29秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
55,Why I'm downgrading to a flip phone.,https://i.ytimg.com/vi/4nX5jwa2QTs/default.jpg,504,[],2020-11-11T20:45:56Z,1486557,69686,6050,7分44秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
56,The most overlooked way to be more productive,https://i.ytimg.com/vi/JU4leSqbvDA/default.jpg,980,"['productivity', 'productive', 'rest', 'long term productivity', 'burn out', 'work life balance', 'taking breaks', 'how to be more productive', 'how to be productive', 'how to be more productive and motivated', 'how to become productive again', 'be more productive', 'how to be more effective']",2020-06-23T18:00:03Z,1470121,60695,1703,10分53秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
57,The Three Year Rule,https://i.ytimg.com/vi/9HF2AjcXurA/default.jpg,332,"['3 year rule', 'three year rule', 'the three year rule', ""Matt D'Avella"", 'daily talk show', 'the daily talk show', 'change', 'self improvement', 'fear of failure', 'John & Tommy']",2019-11-19T19:55:44Z,1445504,63118,1847,9分47秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
58,I quit caffeine for 30 days,https://i.ytimg.com/vi/4D0HRrl2P1o/default.jpg,753,"['coffee', 'caffeine', '30 day experiment', 'challenge', '30 days', 'quitting caffeine', 'cold turkey', 'quit caffeine', 'quit', 'habit', 'building habits', 'breaking habits', 'habit change', 'learn', 'education', 'headache', 'how to break bad habits', 'break bad habits', 'bad habits', ""matt d'avella"", 'matt davella']",2019-08-06T15:00:00Z,1409785,50311,4306,9分2秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
59,My Guide to Digital Minimalism,https://i.ytimg.com/vi/OFnX4beKdfQ/default.jpg,1312,"['digital minimalism', 'minimalism', 'how to be a minimalist', 'digital minimalist', 'minimalist', 'digital declutter', 'digital detox', 'digital', 'digital minimalism - how to simplify your online life', 'minimalist phone', 'digital decluttering', 'digital minimalism phone', 'how to digital minimalism', 'digital organization', 'how to minimalism', 'a beginner’s guide to digital minimalism', 'how to be minimalist', ""Matt D'Avella""]",2020-02-11T19:00:07Z,1350707,42341,1695,16分52秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
