Video Title,Thumbnail URL,Description Length,Tags,Published Data & Time,View Count,Like Count,Comment Count,Duration,Category,Channel Title,Channel Subscriber,Channel Age,Total number of channel uploads
SPEAKING DUTCH ONLY Makeup Tutorial! | NikkieTutorials,https://i.ytimg.com/vi/jL0qadiKDlQ/default.jpg,2237,"['speaking dutch only', 'dutch', 'dutch only', 'nikkietutorials speaking dutch', 'dutch makeup tutorial', 'dutch makeup', 'dutch tutorial', 'nikkietutorials', 'nikkie tutorials', 'nikkitutorials', 'nikki tutorials', 'nikkietutorials dutch', 'easy makeup', 'james charles', 'morphe', 'eyeshadow', 'lipstick', 'lipgloss', 'foundation', 'makeup', 'makeup tutorial', 'tutorial', 'how to', 'how to apply', 'hacks', 'beauty tips', 'beauty', 'makeup tutorial in dutch', 'funny', 'fail', 'cute', 'girls', 'netherlands', 'holland']",2019-07-18T19:59:31Z,12508625,418474,40683,12分49秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
WORLD'S MOST FULL COVERAGE FOUNDATION?? | NikkieTutorials,https://i.ytimg.com/vi/dOjhgtCQwhw/default.jpg,1810,"[""world's most full coverage foundation"", 'full coverage foundation', 'full coverage', 'most full coverage', 'foundation', 'full coverage foundation routine', 'most full coverage foundation', 'foundation review', 'review', 'first impression', 'first impressions', 'amazon', 'dermacol', 'fake news', 'nikkietutorials', 'nikkie tutorials', 'nikkitutorials', 'nikki tutorials', 'power of makeup', 'beauty', 'cosmetics', 'transformation', 'extreme transformation', 'before and after', 'drama', 'best foundation', 'amazon makeup', 'amazon foundation']",2017-09-04T20:06:58Z,12370153,312002,13570,15分29秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
this RAINBOW makeup is taking over the internet! 🌈,https://i.ytimg.com/vi/p6_ODX7wdmI/default.jpg,0,[],2023-12-04T16:26:30Z,12007174,727489,4002,1分,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
BYE MAKEUP! GET UNREADY WITH ME! | NikkieTutorials,https://i.ytimg.com/vi/oYmc98Tx0BA/default.jpg,2757,"['get unready with me', 'how I take my makeup off', 'how to take off makeup', 'unready', 'get unready', 'get ready with me', 'night routine', 'skin', 'skincare', 'skin care', 'skin care routine', 'routine', 'how to fix dry skin', 'dry skin', 'comination skin', 'moisturizer', 'mask', 'nikkietutorials', 'nikkie tutorials', 'nikkitutorials', 'nikki tutorials', 'face oil', 'beauty', 'look', 'cosmetics', 'makeup', 'makeup tutorial', 'makeup remover', 'tatcha', 'GRWM', 'beauty products', 'luxury makeup', 'how to', 'how to apply', 'winter wonder week', 'giveaway']",2017-12-28T21:00:53Z,11664505,356137,66120,15分54秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
BOYFRIEND DOES MY MAKEUP | NikkieTutorials,https://i.ytimg.com/vi/1lacilKXHRs/default.jpg,1273,"['boyfriend does my makeup', 'boyfriend', 'nikkietutorials boyfriend', 'boyfriend does makeup tag', 'boyfriend makeup', 'nikkietutorials', 'nikkie tutorials', 'nikkitutorials', 'nikki tutorials', 'makeup', 'fail', 'disaster', 'funny', 'tutorial', 'makeup tutorial', 'how-to', 'how to apply', 'the force awakens', 'eyeliner', 'jeffree star', 'rick', 'kat von d', 'beauty', 'beauty talk', 'beauty tips', 'look', 'cosmetics']",2015-12-20T21:12:53Z,11631947,366440,,11分55秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
Will This Nose Hack Work? 🤔,https://i.ytimg.com/vi/541FYrUAjc8/default.jpg,0,[],2022-08-08T18:19:57Z,11455206,787889,2634,1分,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
this VIRAL foundation is taking over the internet! 🫢,https://i.ytimg.com/vi/-QUJO2l3nAI/default.jpg,0,[],2024-01-10T16:48:57Z,11389878,555268,2301,57秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
Doing LADY GAGA'S Makeup! | NikkieTutorials,https://i.ytimg.com/vi/kx_uCdTRCAw/default.jpg,2307,"['lady gaga', 'lady', 'gaga', 'LG6', 'lady gaga new album', 'lady gaga babies', ""doing lady gaga's makeup"", 'lady gaga makeup', 'lady gaga interview', 'haus laboratories', 'haus', 'haus of gaga', 'music video', 'music', 'nikkietutorials', 'nikkie tutorials', 'nikkitutorials', 'nikki tutorials', 'makeup tutorial', 'tutorial', 'power of makeup', 'celebrity', 'power of makeup lady gaga', 'eyeshadow', 'drama', 'paparazzi', 'a star is born', 'album', 'pokerface', 'sarah tanno', 'lady gaga look', 'truth', 'makeup', 'lady gaga pregnant']",2019-12-04T21:17:15Z,11054572,545143,18240,26分53秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
CONTOUR LIKE AN INSTAGRAM PRO!,https://i.ytimg.com/vi/sjT7asVL7JI/default.jpg,1305,"['how to contour', 'contour', 'contouring', 'tutorial', 'contouring tutorial', 'makeup', 'makeup tutorial', 'how-to', 'contour and highlight', ""valentine's day"", ""valentine's day makeup"", ""anti valentine's day"", 'joke', 'funny', 'eyeshadow', 'lipstick', 'cream contouring', 'nikkietutorials', 'nikkie tutorials', 'nikkitutorials', 'nikki tutorials', 'cosmetics', 'beauty', 'look', ""april fool's"", 'april 1', 'single', 'pro', 'like a pro', 'clown contouring', 'paint roller girl']",2016-02-14T20:57:57Z,10854115,285991,18136,6分18秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
NO MIRROR MAKEUP CHALLENGE!,https://i.ytimg.com/vi/s8mmyuBg3iY/default.jpg,1215,"['No mirror makeup challenge', 'no mirror makeup challenge nikkietutorials', 'no mirror makeup', 'makeup', 'makeup challenge', 'makeup tutorial', 'tutorial', 'how-to', 'tag', 'challenge', 'funny', 'nikkietutorials', 'nikkie tutorials', 'nikki tutorials', 'nikkitutorials', 'power of makeup', 'laugh', 'lol', 'cosmetics', 'beauty', 'look', 'beauty tips', 'girls', 'fun', 'crazy', 'gorgeous', 'beautiful', 'awkward', 'colorful', 'winged eyeliner', 'winged liner']",2015-09-20T21:16:14Z,10582305,211952,14906,14分39秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
